Sno,Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths
1,30/1/2020,Kerala,1,0,0,0
2,31/1/2020,Kerala,1,0,0,0
3,1/2/2020,Kerala,2,0,0,0
4,2/2/2020,Kerala,3,0,0,0
5,3/2/2020,Kerala,3,0,0,0
6,4/2/2020,Kerala,3,0,0,0
7,5/2/2020,Kerala,3,0,0,0
8,6/2/2020,Kerala,3,0,0,0
9,7/2/2020,Kerala,3,0,0,0
10,8/2/2020,Kerala,3,0,0,0
11,9/2/2020,Kerala,3,0,0,0
12,10/2/2020,Kerala,3,0,0,0
13,11/2/2020,Kerala,3,0,0,0
14,12/2/2020,Kerala,3,0,0,0
15,13/2/2020,Kerala,3,0,0,0
16,14/2/2020,Kerala,3,0,0,0
17,15/2/2020,Kerala,3,0,0,0
18,16/2/2020,Kerala,3,0,0,0
19,17/2/2020,Kerala,3,0,0,0
20,18/2/2020,Kerala,3,0,0,0
21,19/2/2020,Kerala,3,0,0,0
22,20/2/2020,Kerala,3,0,0,0
23,21/2/2020,Kerala,3,0,0,0
24,22/2/2020,Kerala,3,0,0,0
25,23/2/2020,Kerala,3,0,0,0
26,24/2/2020,Kerala,3,0,0,0
27,25/2/2020,Kerala,3,0,0,0
28,26/2/2020,Kerala,3,0,0,0
29,27/2/2020,Kerala,3,0,0,0
30,28/2/2020,Kerala,3,0,0,0
31,29/2/2020,Kerala,3,0,0,0
32,1/3/2020,Kerala,3,0,0,0
33,2/3/2020,Telengana,1,0,0,0
34,2/3/2020,Kerala,3,0,0,0
35,2/3/2020,Delhi,1,0,0,0
36,3/3/2020,Telengana,1,0,0,0
37,3/3/2020,Rajasthan,0,1,0,0
38,3/3/2020,Kerala,3,0,3,0
39,3/3/2020,Delhi,1,0,0,0
40,4/3/2020,Uttar Pradesh,6,0,0,0
41,4/3/2020,Kerala,3,0,3,0
42,4/3/2020,Haryana,0,2,0,0
43,4/3/2020,Delhi,1,0,0,0
44,4/3/2020,Telengana,1,0,0,0
45,4/3/2020,Rajasthan,1,14,0,0
46,5/3/2020,Delhi,2,0,0,0
47,5/3/2020,Haryana,0,2,0,0
48,5/3/2020,Kerala,3,0,3,0
49,5/3/2020,Rajasthan,1,14,0,0
50,5/3/2020,Telengana,1,0,0,0
51,5/3/2020,Uttar Pradesh,7,0,0,0
52,6/3/2020,Delhi,3,0,0,0
53,6/3/2020,Haryana,0,2,0,0
54,6/3/2020,Kerala,3,0,3,0
55,6/3/2020,Rajasthan,1,14,0,0
56,6/3/2020,Uttar Pradesh,7,0,0,0
57,6/3/2020,Telengana,1,0,0,0
58,7/3/2020,Kerala,3,0,3,0
59,7/3/2020,Uttar Pradesh,7,0,0,0
60,7/3/2020,Union Territory of Ladakh,2,0,0,0
61,7/3/2020,Telengana,1,0,0,0
62,7/3/2020,Tamil Nadu,1,0,0,0
63,7/3/2020,Delhi,3,0,0,0
64,7/3/2020,Haryana,0,2,0,0
65,7/3/2020,Rajasthan,1,14,0,0
66,8/3/2020,Union Territory of Ladakh,2,0,0,0
67,8/3/2020,Telengana,1,0,0,0
68,8/3/2020,Tamil Nadu,1,0,0,0
69,8/3/2020,Rajasthan,1,14,0,0
70,8/3/2020,Kerala,8,0,3,0
71,8/3/2020,Haryana,0,2,0,0
72,8/3/2020,Delhi,3,0,0,0
73,8/3/2020,Uttar Pradesh,7,0,0,0
74,9/3/2020,Union Territory of Ladakh,2,0,0,0
75,9/3/2020,Karnataka,1,0,0,0
76,9/3/2020,Kerala,9,0,3,0
77,9/3/2020,Maharashtra,2,0,0,0
78,9/3/2020,Punjab,1,0,0,0
79,9/3/2020,Rajasthan,1,14,0,0
80,9/3/2020,Tamil Nadu,1,0,0,0
81,9/3/2020,Telengana,1,0,0,0
82,9/3/2020,Union Territory of Jammu and Kashmir,1,0,0,0
83,9/3/2020,Uttar Pradesh,7,0,0,0
84,9/3/2020,Haryana,0,2,0,0
85,9/3/2020,Delhi,4,0,0,0
86,10/3/2020,Uttar Pradesh,7,0,0,0
87,10/3/2020,Union Territory of Ladakh,2,0,0,0
88,10/3/2020,Delhi,4,0,0,0
89,10/3/2020,Haryana,0,2,0,0
90,10/3/2020,Karnataka,4,0,0,0
91,10/3/2020,Kerala,15,0,3,0
92,10/3/2020,Maharashtra,5,0,0,0
93,10/3/2020,Punjab,1,0,0,0
94,10/3/2020,Rajasthan,1,14,0,0
95,10/3/2020,Tamil Nadu,1,0,0,0
96,10/3/2020,Telengana,1,0,0,0
97,10/3/2020,Union Territory of Jammu and Kashmir,1,0,0,0
98,11/3/2020,Maharashtra,2,0,0,0
99,11/3/2020,Delhi,5,0,0,0
100,11/3/2020,Haryana,0,14,0,0
101,11/3/2020,Kerala,17,0,3,0
102,11/3/2020,Rajasthan,1,2,0,0
103,11/3/2020,Telengana,1,0,0,0
104,11/3/2020,Uttar Pradesh,9,0,0,0
105,11/3/2020,Union Territory of Ladakh,2,0,0,0
106,11/3/2020,Tamil Nadu,1,0,0,0
107,11/3/2020,Union Territory of Jammu and Kashmir,1,0,0,0
108,11/3/2020,Punjab,1,0,0,0
109,11/3/2020,Karnataka,4,0,0,0
110,12/3/2020,Delhi,6,0,0,0
111,12/3/2020,Haryana,0,14,0,0
112,12/3/2020,Kerala,17,0,3,0
113,12/3/2020,Rajasthan,1,2,0,0
114,12/3/2020,Telengana,1,0,0,0
115,12/3/2020,Uttar Pradesh,10,1,0,0
116,12/3/2020,Union Territory of Ladakh,3,0,0,0
117,12/3/2020,Tamil Nadu,1,0,0,0
118,12/3/2020,Union Territory of Jammu and Kashmir,1,0,0,0
119,12/3/2020,Punjab,1,0,0,0
120,12/3/2020,Karnataka,4,0,0,0
121,12/3/2020,Maharashtra,11,0,0,0
122,12/3/2020,Andhra Pradesh,1,0,0,0
123,13/3/2020,Delhi,6,0,0,0
124,13/3/2020,Haryana,0,14,0,0
125,13/3/2020,Kerala,19,0,3,0
126,13/3/2020,Rajasthan,1,2,0,0
127,13/3/2020,Telengana,1,0,0,0
128,13/3/2020,Uttar Pradesh,10,1,0,0
129,13/3/2020,Union Territory of Ladakh,3,0,0,0
130,13/3/2020,Tamil Nadu,1,0,0,0
131,13/3/2020,Union Territory of Jammu and Kashmir,1,0,0,0
132,13/3/2020,Punjab,1,0,0,0
133,13/3/2020,Karnataka,6,0,0,1
134,13/3/2020,Maharashtra,14,0,0,0
135,13/3/2020,Andhra Pradesh,1,0,0,0
136,14/3/2020,Delhi,7,0,1,1
137,14/3/2020,Haryana,0,14,0,0
138,14/3/2020,Kerala,19,0,3,0
139,14/3/2020,Rajasthan,1,2,1,0
140,14/3/2020,Telengana,1,0,0,0
141,14/3/2020,Uttar Pradesh,11,1,5,0
142,14/3/2020,Union Territory of Ladakh,3,0,0,0
143,14/3/2020,Tamil Nadu,1,0,0,0
144,14/3/2020,Union Territory of Jammu and Kashmir,2,0,0,0
145,14/3/2020,Punjab,1,0,0,0
146,14/3/2020,Karnataka,6,0,0,1
147,14/3/2020,Maharashtra,14,0,0,0
148,14/3/2020,Andhra Pradesh,1,0,0,0
149,15/3/2020,Andhra Pradesh,1,0,0,0
150,15/3/2020,Delhi,7,0,2,1
151,15/3/2020,Haryana,0,14,0,0
152,15/3/2020,Karnataka,6,0,0,1
153,15/3/2020,Kerala,22,0,3,0
154,15/3/2020,Maharashtra,32,0,0,0
155,15/3/2020,Punjab,1,0,0,0
156,15/3/2020,Rajasthan,2,2,3,0
157,15/3/2020,Tamil Nadu,1,0,0,0
158,15/3/2020,Telengana,3,0,1,0
159,15/3/2020,Union Territory of Jammu and Kashmir,2,0,0,0
160,15/3/2020,Union Territory of Ladakh,3,0,0,0
161,15/3/2020,Uttar Pradesh,12,1,4,0
162,15/3/2020,Uttarakhand,1,0,0,0
163,16/3/2020,Andhra Pradesh,1,0,0,0
164,16/3/2020,Delhi,7,0,2,1
165,16/3/2020,Haryana,0,14,0,0
166,16/3/2020,Karnataka,6,0,0,1
167,16/3/2020,Kerala,23,0,3,0
168,16/3/2020,Maharashtra,32,0,0,0
169,16/3/2020,Odisha,1,0,0,0
170,16/3/2020,Punjab,1,0,0,0
171,16/3/2020,Rajasthan,2,2,3,0
172,16/3/2020,Tamil Nadu,1,0,0,0
173,16/3/2020,Telengana,3,0,1,0
174,16/3/2020,Union Territory of Jammu and Kashmir,3,0,0,0
175,16/3/2020,Union Territory of Ladakh,4,0,0,0
176,16/3/2020,Uttar Pradesh,12,1,4,0
177,16/3/2020,Uttarakhand,1,0,0,0
178,17/3/2020,Andhra Pradesh,1,0,0,0
179,17/3/2020,Delhi,8,0,2,1
180,17/3/2020,Haryana,1,14,0,0
181,17/3/2020,Karnataka,11,0,0,1
182,17/3/2020,Kerala,24,2,3,0
183,17/3/2020,Maharashtra,36,3,0,1
184,17/3/2020,Odisha,1,0,0,0
185,17/3/2020,Punjab,1,0,0,0
186,17/3/2020,Rajasthan,2,2,3,0
187,17/3/2020,Tamil Nadu,1,0,0,0
188,17/3/2020,Telengana,3,2,1,0
189,17/3/2020,Union Territory of Jammu and Kashmir,3,0,0,0
190,17/3/2020,Union Territory of Ladakh,6,0,0,0
191,17/3/2020,Uttar Pradesh,14,1,5,0
192,17/3/2020,Uttarakhand,1,0,0,0
193,18/3/2020,Andhra Pradesh,1,0,0,0
194,18/3/2020,Delhi,9,1,2,1
195,18/3/2020,Haryana,3,14,0,0
196,18/3/2020,Karnataka,11,0,0,1
197,18/3/2020,Kerala,25,2,3,0
198,18/3/2020,Maharashtra,39,3,0,1
199,18/3/2020,Odisha,1,0,0,0
200,18/3/2020,Pondicherry,1,0,0,0
201,18/3/2020,Punjab,1,0,0,0
202,18/3/2020,Rajasthan,2,2,3,0
203,18/3/2020,Tamil Nadu,1,0,0,0
204,18/3/2020,Telengana,4,2,1,0
205,18/3/2020,Union Territory of Jammu and Kashmir,3,0,0,0
206,18/3/2020,Union Territory of Ladakh,8,0,0,0
207,18/3/2020,Uttar Pradesh,15,1,5,0
208,18/3/2020,Uttarakhand,1,0,0,0
209,18/3/2020,West Bengal,1,0,0,0
210,19/3/2020,Andhra Pradesh,2,0,0,0
211,19/3/2020,Chattisgarh,1,0,0,0
212,19/3/2020,Delhi,11,1,3,1
213,19/3/2020,Haryana,3,14,0,0
214,19/3/2020,Karnataka,14,0,0,1
215,19/3/2020,Kerala,25,2,3,0
216,19/3/2020,Maharashtra,44,3,0,1
217,19/3/2020,Odisha,1,0,0,0
218,19/3/2020,Pondicherry,1,0,0,0
219,19/3/2020,Punjab,2,0,0,1
220,19/3/2020,Rajasthan,5,2,3,0
221,19/3/2020,Tamil Nadu,2,0,1,0
222,19/3/2020,Telengana,4,2,1,0
223,19/3/2020,Union Territory of Chandigarh,1,0,0,0
224,19/3/2020,Union Territory of Jammu and Kashmir,4,0,0,0
225,19/3/2020,Union Territory of Ladakh,8,0,0,0
226,19/3/2020,Uttar Pradesh,18,1,9,0
227,19/3/2020,Uttarakhand,1,0,0,0
228,19/3/2020,West Bengal,1,0,0,0
229,20/3/2020,Andhra Pradesh,3,0,0,0
230,20/3/2020,Chhattisgarh,1,0,0,0
231,20/3/2020,Delhi,16,1,5,1
232,20/3/2020,Gujarat,5,0,0,0
233,20/3/2020,Haryana,3,14,0,0
234,20/3/2020,Karnataka,15,0,1,1
235,20/3/2020,Kerala,26,2,3,0
236,20/3/2020,Maharashtra,49,3,0,1
237,20/3/2020,Odisha,2,0,0,0
238,20/3/2020,Puducherry,1,0,0,0
239,20/3/2020,Punjab,2,0,0,1
240,20/3/2020,Rajasthan,15,2,3,0
241,20/3/2020,Tamil Nadu,3,0,1,0
242,20/3/2020,Telengana,8,9,1,0
243,20/3/2020,Union Territory of Chandigarh,1,0,0,0
244,20/3/2020,Union Territory of Jammu and Kashmir,4,0,0,0
245,20/3/2020,Union Territory of Ladakh,10,0,0,0
246,20/3/2020,Uttar Pradesh,22,1,9,0
247,20/3/2020,Uttarakhand,3,0,0,0
248,20/3/2020,West Bengal,2,0,0,0
249,21/3/2020,Andhra Pradesh,3,0,0,0
250,21/3/2020,Chhattisgarh,1,0,0,0
251,21/3/2020,Delhi,25,1,5,1
252,21/3/2020,Gujarat,7,0,0,0
253,21/3/2020,Haryana,3,14,0,0
254,21/3/2020,Himachal Pradesh,2,0,0,0
255,21/3/2020,Karnataka,15,0,1,1
256,21/3/2020,Kerala,33,7,3,0
257,21/3/2020,Madhya Pradesh,4,0,0,0
258,21/3/2020,Maharashtra,60,3,0,1
259,21/3/2020,Odisha,2,0,0,0
260,21/3/2020,Puducherry,1,0,0,0
261,21/3/2020,Punjab,13,0,0,1
262,21/3/2020,Rajasthan,15,2,3,0
263,21/3/2020,Tamil Nadu,3,0,1,0
264,21/3/2020,Telengana,10,11,1,0
265,21/3/2020,Chandigarh,1,0,0,0
266,21/3/2020,Jammu and Kashmir,4,0,0,0
267,21/3/2020,Ladakh,13,0,0,0
268,21/3/2020,Uttar Pradesh,23,1,9,0
269,21/3/2020,Uttarakhand,3,0,0,0
270,21/3/2020,West Bengal,3,0,0,0
